tsp_id	stcotrbg	hh_race	hh_income	latitude	longitude
56711048	560019627001	8	31200	41.2886501	-105.5315190
56711049	560019627001	1	383400	41.4235575	-105.6141295
56711050	560019627001	8	32000	41.2888732	-105.5325812
56711051	560019627001	1	72400	41.4249048	-105.6141271
56711052	560019627001	1	40000	41.2886768	-105.5320543
56711053	560019627001	1	50000	41.4065143	-105.5858108
56711054	560019627001	1	54000	41.2898634	-105.5312026
56711055	560019627001	1	5600	41.4070031	-105.5923164
56711056	560019627001	1	63200	41.2889785	-105.5329553
56711057	560019627001	1	120000	41.2627753	-105.5950566
56711058	560019627001	1	55100	41.2899206	-105.5312304
56711059	560019627001	1	62150	41.3051193	-105.6432373
56711060	560019627001	1	31000	41.2899595	-105.5312616
56711061	560019627001	1	9400	41.3481918	-105.6362887
56711062	560019627001	1	80200	41.2897113	-105.5315209
56711063	560019627001	1	22000	41.2420548	-105.7243547
56711064	560019627001	1	21700	41.2895659	-105.5315622
56711065	560019627001	1	104000	41.4189596	-105.6093250
56711066	560019627001	1	50000	41.2896471	-105.5319641
56711067	560019627001	1	45000	41.2547651	-105.7018446
56711068	560019627001	1	41000	41.2899961	-105.5320851
56711069	560019627001	1	136300	41.4065752	-105.5841126
56711070	560019627001	1	105950	41.2892192	-105.5325078
56711071	560019627001	1	13500	41.4063354	-105.5900157
56711072	560019627001	1	115000	41.2899949	-105.5320562
56711073	560019627001	1	72000	41.4094655	-105.5803095
56711074	560019627001	1	54500	41.2896468	-105.5318621
56711075	560019627001	1	137000	41.3029385	-105.6470202
56711076	560019627001	1	60000	41.2901953	-105.5310486
56711077	560019627001	1	213000	41.4235190	-105.6147888
56711078	560019627001	1	47040	41.2896498	-105.5313739
56711079	560019627001	1	100000	41.4235817	-105.6130540
56711080	560019627001	1	56200	41.2897456	-105.5311331
56711081	560019627001	1	3300	41.2559002	-105.6983091
56711082	560019627001	1	55000	41.2896980	-105.5319858
56711083	560019627001	1	50000	41.2397660	-105.7290267
