sp_id	stcotrbg	hh_race	hh_income	latitude	longitude
56545008	560099564001	1	67740	42.7773907	-105.3863893
56545009	560099564001	1	28000	42.7773219	-105.4134135
56545010	560099564001	1	97000	42.7661476	-105.3792125
56545011	560099564001	1	30000	42.7783173	-105.4134517
56545012	560099564001	1	85000	42.7830839	-105.4158612
56545013	560099564001	1	108000	42.7740281	-105.3840991
56545014	560099564001	1	96000	42.7797104	-105.3948664
56545015	560099564001	8	18000	42.7774481	-105.3850176
56545016	560099564001	1	43500	42.7799766	-105.3947829
56545017	560099564001	1	97000	42.7753266	-105.3836005
56545018	560099564001	1	96500	42.7790020	-105.3944222
56545019	560099564001	1	81000	42.7806965	-105.3950074
56545020	560099564001	1	121800	42.7827225	-105.4171246
56545021	560099564001	1	139000	42.7719459	-105.3670967
56545022	560099564001	1	52530	42.7762893	-105.3839700
56545023	560099564001	1	38000	42.7650196	-105.3815074
56545024	560099564001	1	73000	42.7769581	-105.3837587
56545025	560099564001	1	82800	42.7791375	-105.3844019
56545026	560099564001	1	444000	42.7777384	-105.3843677
56545027	560099564001	1	152130	42.7803909	-105.4123791
56545028	560099564001	1	30000	42.7811397	-105.4132253
56545029	560099564001	1	30500	42.7823713	-105.4147540
56545030	560099564001	1	68500	42.7820741	-105.4162097
56545031	560099564001	1	133100	42.7822826	-105.4152809
56545032	560099564001	1	28500	42.7807670	-105.4143420
56545033	560099564001	1	80000	42.7817320	-105.4130191
56545034	560099564001	1	22000	42.7810581	-105.4150886
56545035	560099564001	1	197400	42.7804665	-105.4141765
56545036	560099564001	1	130500	42.7801957	-105.4112211
56545037	560099564001	1	92000	42.7815523	-105.4121869
56545038	560099564001	1	77500	42.7813336	-105.4110792
56545039	560099564001	7	46000	42.7794191	-105.4145356
56545040	560099564001	1	115000	42.7825826	-105.4175889
56545041	560099564001	1	28300	42.7790503	-105.4120584
56545042	560099564001	3	58200	42.7901432	-105.3792266
56545043	560099564001	1	144000	42.7733510	-105.3835275
56545044	560099564001	8	77100	42.7687856	-105.3881132
56545045	560099564001	1	108300	42.7681170	-105.3888291
56545046	560099564001	1	100000	42.7666966	-105.3783487
56545047	560099564001	1	56400	42.7605052	-105.3759652
56545048	560099564001	1	58000	42.7661878	-105.3818577
56545049	560099564001	1	145000	42.7627747	-105.3813915
56545050	560099564001	1	132360	42.7598941	-105.3822709
56545051	560099564001	1	14000	42.7633087	-105.3802870
