sp_id	gq_type	stcotrbg	persons	latitude	longitude
450003739	C	560210004021	223	41.1038741	-104.7809732
450005507	M	560210011002	503	41.1444618	-104.8641237
450006444	P	560210007001	230	41.1347886	-104.8201886
450007494	P	560210020001	15	41.1606868	-104.6519811
450025114	P	560210003002	12	41.1086427	-104.8304709
450025115	P	560210003002	9	41.1086427	-104.8304709
450025116	P	560210007001	39	41.1309593	-104.8306915
450025117	P	560210020001	8	41.2628503	-104.5452133
450032304	N	560210006001	96	41.1390949	-104.7767662
450032305	N	560210014022	63	41.1643958	-104.8065635
450037481	N	560210014022	62	41.1640688	-104.8081963
450045124	N	560210007001	14	41.1309593	-104.8306915
450045125	N	560210014011	37	41.1543477	-104.7780757
450048411	N	560210014022	58	41.1669448	-104.7952402
