sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164156823	56182002	75	F	1	0	X	X
164156824	56177084	75	F	1	0	X	X
164156846	56185144	75	F	1	0	X	X
164156851	56177786	75	F	1	0	X	X
164172475	56180187	50	F	1	1	X	X
164172507	56183249	51	M	1	0	X	517507681
164172508	56183249	50	F	1	1	X	X
164172531	56180030	51	M	1	0	X	517662923
164172549	56177866	51	M	1	0	X	517507873
164172551	56177866	23	F	1	2	X	X
164355290	56180749	27	M	1	0	X	517507749
164355294	56176799	27	M	1	0	X	517662850
164355295	56176799	24	F	1	1	X	506980633
164355302	56179816	27	M	1	0	X	517663295
164355303	56179816	24	F	1	1	X	517508604
164355304	56178619	27	M	1	0	X	517509372
164632764	56184792	52	M	1	0	X	517508038
164632765	56184792	49	F	1	1	X	517508727
164632788	56179789	52	M	1	0	X	517508013
164632792	56184955	52	M	1	0	X	517662850
164632793	56184955	49	F	1	1	X	517507799
164645699	56178767	45	M	1	0	X	517662847
164645700	56178767	29	F	1	1	X	517663178
164645705	56180563	11	F	1	2	450096778	X
164645707	56180563	45	M	1	0	X	517508057
164645709	56185516	11	F	1	2	450091718	X
164645712	56185516	29	F	1	1	X	517507702
164645718	56179021	10	F	1	2	450096761	X
164645741	56179801	11	F	1	2	450091718	X
164645742	56179801	10	F	1	2	450091718	X
164645743	56179801	45	M	1	0	X	517507884
164645744	56179801	29	F	1	1	X	517662850
164729712	56177942	44	M	2	0	X	517508330
164729716	56177824	44	M	2	0	X	517662850
164729725	56177988	4	M	9	2	450094430	X
164729737	56177960	4	M	9	2	450094430	X
164739197	56185487	47	M	1	1	X	517508803
164739227	56181882	14	M	1	2	450096778	X
164739228	56181882	48	F	1	0	X	514197102
164739232	56180914	48	F	1	0	X	517507269
164739233	56180914	47	M	1	1	X	517507265
164739234	56180914	18	M	1	2	450096777	X
164739239	56183500	14	M	1	2	450096778	X
164739240	56183500	48	F	1	0	X	517508726
164739242	56183500	18	M	1	2	450096777	X
164935650	56182920	28	F	1	0	X	517507407
165080419	56184665	70	F	1	0	X	517508483
165168803	56183341	36	F	1	9	X	517508558
165168808	56183458	27	F	1	0	X	517508589
165168809	56183458	36	F	1	9	X	517507281
165168842	56185664	27	F	1	0	X	517508451
165187113	56185358	61	M	1	0	X	517508498
165187114	56185358	60	F	1	1	X	517508092
