sp_id	sp_gq_id	age	sex
943199645	450010995	16	M
943199679	450010995	33	M
943199678	450010995	39	M
943199677	450010995	42	M
943199676	450010995	38	M
943199675	450010995	29	M
943199674	450010995	17	M
943199673	450010995	15	M
943199672	450010995	17	M
943199671	450010995	16	M
943199670	450010995	17	M
943199669	450010995	17	M
943199668	450010995	17	M
943199667	450010995	16	M
943199666	450010995	17	M
943199665	450010995	17	M
943199664	450010995	17	M
943199663	450010995	17	M
943199662	450010995	13	M
943199661	450010995	13	M
943199660	450010995	15	M
943199659	450010995	15	M
943199658	450010995	16	M
943199657	450010995	16	M
943199656	450010995	17	M
943199655	450010995	17	M
943199654	450010995	15	M
943199653	450010995	17	M
943199652	450010995	17	M
943199651	450010995	14	M
943199650	450010995	17	M
943199649	450010995	17	M
943199648	450010995	17	M
943199647	450010995	17	M
943199646	450010995	16	M
943199644	450010995	16	M
943199643	450010995	16	M
943199642	450010995	17	M
943199641	450010995	17	M
943199640	450010995	15	M
943199623	450010995	17	M
943199624	450010995	16	M
943199625	450010995	17	M
943199626	450010995	17	M
943199627	450010995	13	M
943199628	450010995	17	M
943199629	450010995	17	M
943199630	450010995	16	M
943199631	450010995	16	M
943199632	450010995	13	M
943199633	450010995	17	M
943199634	450010995	13	M
943199635	450010995	16	M
943199636	450010995	14	M
943199637	450010995	15	M
943199638	450010995	17	M
943199639	450010995	17	M
943199614	450007504	45	M
943199615	450007504	30	M
943199616	450007504	43	M
943199617	450007504	20	M
943199620	450007504	30	M
943199613	450007504	48	M
943199618	450007504	34	M
943199619	450007504	54	M
943199622	450025145	42	F
943199621	450025145	36	F
940385681	450043128	55	M
940385680	450043128	56	M
940096641	450043128	86	F
940096642	450043128	70	F
940096643	450043128	81	F
940096644	450043128	87	F
940096645	450043128	82	F
940096646	450043128	88	F
940096647	450043128	80	F
940096648	450043128	72	F
940096649	450043128	85	F
940703064	450043128	89	M
940703065	450043128	82	M
940703066	450043128	78	M
940703067	450043128	75	M
940703068	450043128	67	M
940703069	450043128	65	M
940703070	450043128	66	M
940703071	450043128	66	M
940703072	450043128	68	M
940703073	450043128	78	M
940703074	450043128	76	M
940703075	450043128	81	M
940703076	450043128	84	M
940703077	450043128	67	M
940703078	450043128	65	M
940703079	450043128	79	M
940703080	450043128	74	M
940703081	450043128	81	M
940703082	450043128	70	M
940703083	450043128	69	M
940703084	450043128	82	M
939319423	450043128	21	F
940096659	450043128	89	F
940096658	450043128	81	F
940096657	450043128	75	F
940096656	450043128	90	F
940096655	450043128	100	F
940096654	450043128	80	F
940096653	450043128	75	F
940096652	450043128	80	F
940096651	450043128	100	F
940096650	450043128	82	F
940096662	450043128	92	F
940096663	450043128	70	F
940096664	450043128	68	F
940096665	450043128	85	F
940096666	450043128	89	F
940096667	450043128	104	F
940703085	450043128	65	M
940096640	450043128	84	F
940096639	450043128	99	F
940096638	450043128	93	F
940096637	450043128	78	F
940096636	450043128	85	F
940096635	450043128	93	F
940703086	450043128	74	M
940096660	450043128	78	F
940096661	450043128	78	F
940096669	450043128	77	F
940096670	450043128	95	F
940096671	450043128	65	F
940096672	450043128	89	F
939319424	450043128	18	F
940096668	450043128	90	F
