county,k_pct,strategy,peak_mean,total_mean
56001,0,baseline,18134.53,27867.67
56001,0,Random,18102.87,27868.3
56001,0,Degree,18109.6,27869.17
56001,0,Eigenvector,18106.19,27867.43
56001,0,Adaptive Degree,18191.05,27862.14
56001,0,Polled Self Nomination,18220.65,27858.67
56001,0,Polled Neighbor Nomination,18227.69,27871.02
56001,10,baseline,18188.02,27861.89
56001,10,Random,15696.85,24593.34
56001,10,Degree,14979.35,24576.44
56001,10,Eigenvector,15261.62,24716.41
56001,10,Adaptive Degree,14875.31,24564.21
56001,10,Polled Self Nomination,15166.62,24480.03
56001,10,Polled Neighbor Nomination,15055.13,24535.37
56001,20,baseline,18155.02,27866.63
56001,20,Random,13326.4,21327.87
56001,20,Degree,11884.28,20923.72
56001,20,Eigenvector,12943.75,21739.29
56001,20,Adaptive Degree,11319.41,20542.69
56001,20,Polled Self Nomination,12114.18,20886.12
56001,20,Polled Neighbor Nomination,12125.44,20966.09
56001,30,baseline,18225.79,27865.12
56001,30,Random,11242.66,18113.37
56001,30,Degree,8637.32,16979.97
56001,30,Eigenvector,9676.94,17980.12
56001,30,Adaptive Degree,7145.11,15794.52
56001,30,Polled Self Nomination,9055.65,17068.58
56001,30,Polled Neighbor Nomination,9009.57,17214.61
56001,40,baseline,18222.2,27857.31
56001,40,Random,9041.5,14925.96
56001,40,Degree,5298.22,12648.23
56001,40,Eigenvector,6467.95,13890.59
56001,40,Adaptive Degree,2192.06,8977.82
56001,40,Polled Self Nomination,5256.65,12826.96
56001,40,Polled Neighbor Nomination,6000.89,13180.26
56001,50,baseline,18117.34,27860.48
56001,50,Random,6968.45,11791.5
56001,50,Degree,1445.69,6844.17
56001,50,Eigenvector,3578.17,9594.76
56001,50,Adaptive Degree,20.13,56.92
56001,50,Polled Self Nomination,1042.97,5584.2
56001,50,Polled Neighbor Nomination,3017.32,8709.29
56001,60,baseline,18243.47,27859.64
56001,60,Random,4981.9,8748.69
56001,60,Degree,19.11,61.25
56001,60,Eigenvector,1137.08,4145.33
56001,60,Adaptive Degree,8.48,14.73
56001,60,Polled Self Nomination,15.51,47.85
56001,60,Polled Neighbor Nomination,497.84,2883.36
56001,70,baseline,18143.42,27867.32
56001,70,Random,3107.41,5853.77
56001,70,Degree,7.38,12.92
56001,70,Eigenvector,85.8,395.66
56001,70,Adaptive Degree,5.2,7.12
56001,70,Polled Self Nomination,6.51,11.69
56001,70,Polled Neighbor Nomination,19.49,55.49
56001,80,baseline,18178.35,27860.03
56001,80,Random,1481.21,3067.02
56001,80,Degree,5.07,7.31
56001,80,Eigenvector,30.93,124.32
56001,80,Adaptive Degree,5.0,5.0
56001,80,Polled Self Nomination,5.25,7.22
56001,80,Polled Neighbor Nomination,7.59,13.04
